GAIpos,lemp,HHI,ltdc,lni,lprod
2.2830024,1.7664417,.64213485,8.4488707,10.682836,10.784582
1.1899596,2.4336133,.82599634,7.7626681,11.928222,11.943624
1.1506019,1.9968748,1,8.9153872,12.932758,12.950599
2.8895731,4.356709,.3952699,9.6894541,14.945084,14.950288
1.7786165,.23901691,.56916165,7.5332994,10.249603,10.313628
1.5543072,3.908015,.90457338,9.9526005,14.564503,14.574387
1.9186548,3.1000922,.91743124,9.3560486,13.899792,13.910369
1.312084,2.704845,1,8.0397625,13.390354,13.395088
.1614821,.72076237,.6208064,8.273736,11.236306,11.286701
3.1138825,4.8520303,.3432529,10.231646,15.276526,15.282948
1.5149494,1.8794651,1,8.9391584,13.144844,13.159644
2.2022614,1.3974816,1,9.5250654,14.178533,14.188016
2.0407791,1.0296195,1,6.8480153,10.373502,10.402514
2.3135979,2.9719005,.69751102,9.2973471,14.358048,14.364369
2.2022614,4.0073333,.71556282,9.9222689,15.514606,15.518326
2.2921541,2.3537533,.99617773,9.4660034,14.873532,14.878005
2.8716593,.27079022,1,7.4800525,8.3624868,8.7087498
.24222314,.32353172,1,7.276238,9.6352596,9.7255688
2.6473498,2.7972813,.52085024,8.7845354,13.242999,13.254513
2.1215203,2.939162,1,9.5867701,15.560528,15.563069
.72666961,2.3608539,1,8.61695,13.409889,13.418143
.90837866,.9932518,.7677564,8.1048794,10.405121,10.500645
1.8379138,1.4690257,.41071421,7.6058826,11.038116,11.06992
1.9007409,1.7582027,.36230668,8.4250793,10.777893,10.86874
2.6687937,4.5849676,.79274982,8.9771338,17.583979,17.584162
2.9917581,2.7694588,1,9.5889482,13.712001,13.728066
2.3851874,1.9169226,.33641711,8.1116743,11.172761,11.218534
1.7711008,2.4849067,.34453073,9.1590662,12.919842,12.942841
1.9648144,1.8188882,.56617194,8.850441,12.839119,12.857473
1.931049,1.0664334,1,8.6522713,12.833456,12.84862
.54403102,.1007499,.99860179,7.0661111,10.845115,10.867703
1.1506019,4.1271343,.7073614,8.8736553,14.192622,14.197509
1.4735662,3.2580965,.97485936,9.0025282,12.414445,12.446891
1.3928251,2.9957323,.52065378,8.6707335,13.16644,13.177535
.92953503,.88830268,1,7.4991546,10.194116,10.259477
1.7157893,4.1431346,1,9.4048662,12.552027,12.594103
2.1429641,.61247927,.82025218,7.0072832,10.868093,10.888925
2.0208397,2.74084,.8058843,9.0729837,12.863337,12.885673
2.5666089,2.7013612,1,9.0435972,12.829962,12.852386
.78625429,1.7074716,.54582858,8.3714437,12.044103,12.069194
1.6764315,.94312739,1,6.8971052,9.3596506,9.441431
2.3044462,4.2046928,.51927257,9.6235514,14.417457,14.425702
1.4342084,1.8674852,1,7.8797464,11.656901,11.679531
.94773644,3.4537582,.5638994,9.2215757,13.871576,13.881093
.40370536,2.2202899,1,6.4962406,9.5979357,9.6419268
1.2313429,5.1834674,.58041346,9.7690001,16.380486,16.38183
2.9309564,5.7588987,.18440963,5.8604226,16.866852,16.866867
1.3534672,4.8362818,1,9.2669964,13.695977,13.707833
.40370536,2.1517622,1,8.4969511,11.442971,11.494185
1.312084,1.105588,.4434478,7.9999638,11.173918,11.214904
2.130672,3.5067878,.58994406,8.1639462,10.119446,10.251783
3.5175877,5.1149955,.66652441,9.8722668,15.438654,15.442472
2.6242702,5.4205351,.63785475,9.1446934,12.629074,12.659286
2.080137,1.901361,.5305295,8.2982607,9.5074778,9.7686338
2.4659283,3.2580965,1,9.818881,14.530419,14.539371
1.4735662,1.686399,1,9.1555538,13.596526,13.608242
2.1429641,2.4849067,.83899498,8.8001833,11.122802,11.216308
1.9600381,2.5775619,.3814345,9.0998936,12.945071,12.966228
2.0407791,1.3004642,.77250391,8.1548481,10.348056,10.453819
1.2313429,2.806386,.85142708,8.4298334,10.989611,11.06409
3.5681229,3.1863527,.75971335,8.327857,9.6225166,9.8646708
2.9524002,1.6714733,.59407711,8.517911,7.3216295,8.7820549
1.0698607,3.6428356,.65629244,9.6195841,14.45244,14.460373
2.3044462,2.0668628,.7710405,9.3317394,13.462165,13.478113
1.3443155,3.4815786,1,9.2662573,14.467663,14.473156
.90837866,1.7469364,.7392568,8.6385088,8.6996813,9.36271
1.3749111,2.7911651,1,7.3095002,11.833082,11.843874
2.1429641,.34358969,1,7.7313061,9.6214342,9.7621107
1.1324005,.74431545,1,7.3122373,10.813169,10.842893
3.3760452,3.0155349,.35471994,8.9888639,13.39341,13.405557
1.1092186,2.1041341,.50000149,9.111886,14.061668,14.068728
1.9007409,3.5553482,.78824353,9.4253483,13.715692,13.729299
4.2069254,2.4849067,.42660272,8.9494333,12.469337,12.49851
2.8394277,1.7749523,.65393549,8.4415426,11.631014,11.671381
.72666961,3.4893913,1,7.249774,12.088476,12.096363
1.8379138,4.7469563,.33687365,9.5697107,14.977202,14.981675
1.4735662,2.3978953,.98657024,8.3003283,11.01133,11.075684
2.1521158,1.5475625,.83791965,8.2037477,10.037421,10.185691
2.9201689,.79118091,1,7.4241438,11.91638,11.927513
2.0208397,3.8286414,1,9.2659655,13.061199,13.083427
.70551318,.92979908,.35519183,7.9029593,10.68021,10.740561
1.3928251,2.7206373,.60650814,8.5561628,11.468001,11.52095
1.9186548,4.1850991,.72550422,9.870841,16.529123,16.530405
1.1506019,4.0357618,1,8.3224688,12.051551,12.075282
2.4676664,1.6380254,.59589034,8.7232399,12.914685,12.929697
3.3760452,1.762159,.3203662,8.2488184,10.92388,10.990513
.78625429,3.4965076,.53062272,8.7151117,13.121418,13.133545
1.8379138,1.9480507,.46506381,8.096364,11.792745,11.817254
3.3167479,2.2192035,.39910361,8.9818077,13.253393,13.267257
.70551318,2.1162555,.9592604,8.7967939,10.580115,10.735476
