ni,emp,HHI,tdc1,GAI
47.7,4.7,.71190476,3523.964,.6365304
101.535,10.2,1,878.7380000000001,-.9409588
437.257,6.407,1,7833.951,-.49587011
4423,74,.76378608,18789.474,1.2431012
33.483,.27,1,1972.666,.13214453
-660,9.138999999999999,1,6559.194,.61345059
2390.2,50.1,1,17260.806,.43366498
1277.9,19.7,.9365238,12958.113,.41575104
848,15.143,1,3601.753,-.33438799
103,1.663,.67373991,4380.034,-1.4849899
4768,129,.34700537,33760.446,1.4674104
798.3,6.7,1,10158.055,-.13152254
-3056,2.77,1,12933.682,.55578935
25.611,1.4,1,1435.167,.47504824
2047.1,17.405,1,11253.539,.667126
5163,54.8,.77713317,19124.478,.55578935
2533,9.914999999999999,1,12830.37,.64568216
-3.249,.245,1,1933,1.2251873
6.591,.347,1,807.92,-1.4042488
590.859,15.4,.52341723,6952.536,1.000878
6939,17.9,1,16097.714,.47504824
696.878,9.699999999999999,1,7814.186,-.91980237
33.481,1.679,1,3055.142,-.29300469
-13.067,3.443,.5678044,1577.236,.27218282
-372.675,13.5,1,27663.602,.029959602
65.342,4.614,.35648578,6861.808,.25426888
53394,110,1,10281.327,1.0223218
1377,15.5,1,18092.808,1.3452861
19.872,5.6,.54612297,3333.77,.73871535
309,10.5,.53637534,13363.368,.51205617
353,5.203,.99449182,7791.468,.39908352
432.573,1.868,1,5757.675,.28457701
31.436,.116,1,1202.749,-1.0216999
-330.5,9.5,1,12176.677,1.3007624
1452.5,55,.64655262,7091.497,-.49587011
274.3,26.66666666666652,.9758637,8565.339,-.17290583
571.913,18.8,1,6576.978,-.25364691
-1144.1,28.3,1,12708.213,-.1100787
76.79000000000001,3.538,.50749511,1430.629,.73871535
25.938,1.514,1,1891.783,-.71693695
-1967,43,1,13516.455,.069317386
59.722,.875,1,569.617,.33500996
280.9,15.2,.81807804,9272.302,.37436774
135.4,14.9,1,8464.102000000001,.92013693
121.38,4.735,.54816949,4275.836,-.86021769
20.433,2.237,.81840795,1152.682,.029959602
968,50,.52874422,16648.75,.65797424
115.484,5.839,1,2453.794,-.21226361
695,49.517,1,11710.033,-.69873554
19.197,7.971,1,606,-1.2427666
17879,177.7,1,18343.66,-.41512907
24083,361.27,.17720576,100,1.7295731
897,125,1,6900.435,-.21226361
113.093,7.77,1,5389.555,-1.2427666
-32.111,2.003,.88637316,2847.753,-.33438799
-49.873,4,.57970405,1791.945,.27218282
24.222,30.625,.59579837,1357.389,-.65735227
5176,161.4,.68968767,11377.331,-.25364691
357.796,236.1,.75096041,9859.221,.97779816
2.987,6.56,1,3916.189,.13214453
45.687,5.48,1,4708.336,.51440603
1565,25,1,8164.883,.98093855
1067,4.6,1,8589.878000000001,-.17290583
81.479,11,1,8677.177,.49649212
241.4,12.607,.37986666,9855.380999999999,.31356612
32.158,2.45,.75239956,3473.385,.3943072
-79.11,15.9,.98863131,3938.282,-.41512907
-109.9,23,.76525939,6112.155,1.3544378
6.703,3.475,1,5341.301,1.3059283
2094,39.3,1,17307.672,-.57661122
479,6.9,1,11686.132,.65797424
1968,29.41,1,9209.561,-.22141536
-334,4.6,1,4941.108,-.73809332
126.195,16.6,1,1328.935,-.27156085
16.94,.415,1,2792.574,.94158077
45.017,1.155,1,1725.978,-.51407152
691,18.6,1,8128.707,1.7295731
1054.9,9,1,8206.101000000001,-.53725344
1215,34.5,.80239499,13269.731,.25426888
319.7,12,.39197558,8511.689,3.0055418
58.7,4.9,1,4687.313,1.5481516
225.982,34.997,1,1499.964,-.91980237
2102,105.7,.4622902,15812.023,.6365304
66.842,10.5,.98836935,4591.111,-.17290583
28.541,3.75,.83057225,2929.726,.50564384
133.669,1.207,1,1638.78,1.2736968
878,43,1,10333.862,.37436774
47.953,1.68,.56342638,3084.794,-.9409588
-26.215,4.814,.54659367,1896.1,1.9932402
110.274,14.406,.59927392,5363.252,-.25364691
4587,61.5,.72816777,19224.342,.27218282
196.694,53.016,1,4466.948,-.05078147
410.4,4.4,1,6215.51,.90193552
65.197,4.53,.53253788,8587.321,-.49587011
693.52,35,.62195104,7486.774,-.86021769
134.704,6.093,.48549408,3619.968,.6365304
580,7.7,.39384741,7615.277,-.33438799
59.002,9.5,.94881439,8228.914000000001,-.9409588
7351,123.2,1,14590.571,-.092164762
76.40900000000001,2.586,1,3939.786,-.77947664
1384,37.9,.76215047,10996.742,-.092164762
8163,153,.57614714,27520.744,.5772332
141.634,9.125999999999999,.26443058,7247.118,1.1929557
313,30,1,11156.963,1.6074488
783,11,1,4241.512,1.4765623
251,59,1,9173.689,2.1316426
-677,20.9,1,4516.722,1.0223218
19.552,.627,1,.193,-1.183182
-15.843,22.958,.90670681,900,.94158077
523,7.804,.96920073,8108.383,-.65735227
212.766,9.119,1,9368.585999999999,1.000878
203.523,10.2,1,5665.022,.43366498
359.5,9.1,1,6062.056,-.95916015
1339,35.7,.2900911,9132.445,.64365661
163.903,72,1,7321.845,.8194564
228.9,11.2,.29667443,4888.222,.29362667
136,2.5,1,7472.884,2.1133392
393,24,1,10005.362,1.183804
22.885,8.300000000000001,.3401193,2702.227,-.57661122
145.461,8.4,.39609703,4828.429,-.41512907
358.2,13.42,.99781775,6367.527,-.57661122
161.142,21.2,1,8278.245999999999,.667126
159,23.1,.7233237,8508.499,.5772332
3357.4,81,1,10591.156,-.9409588
3363,341,1,16946.337,2.4797122
1940,57.18,.83400315,15885.377,-.01142369
4526,82.949,.98507762,15842.45,2.1638741
218.629,5.874,1,6444.756,.029959602
139.899,13.404,1,5343.407,.33500996
65.532,8.041,1,1054.643,-.6361959
73.7,15,1,9391.174000000001,-.59481257
269.37,40,.96194357,3275.956,1.0223218
24.274,7.695,1,3938.013,-.05078147
8382,185,.31818599,35070.744,.41575104
-2.426,1.822,1,1732.431,1.000878
1899,14.7,1,9660.429,1.6682504
208.111,12.5,.53169942,2415.326,.27218282
151.1,68.40000000000001,1,7975.515,.6365304
869.829,26,1,7704.873,-1.0216999
7685,49.495,1,21428.876,.43366498
1093.9,74.90000000000001,1,23576.047,-.71693695
-236.8,48,1,3597.32,-.71693695
168.8,5,1,6930.597,-1.0399013
267.669,19,.37329742,6288.201,.3943072
84.324,11.159,1,3395.916,-.79767799
212.425,8,1,6204.361,2.1547225
47.866,.073,1,3218.477,.47504824
-80,6.4,.63801825,2197.453,2.4152491
230.299,1.473,1,4849.842,3.561501
1002.1,47.145,.52555716,10089.538,1.0402358
-12.257,.698,1,852.633,1.7903748
2710,110.8,.37132907,13874.813,.19144174
-945.731,.47,1,7896.822,-.17290583
-1985,39.5,1,15718.852,.62502879
315.075,4.753,1,4227.536,-.41512907
35.736,6.018,.54839444,2888.255,-.49587011
-2.285,.483,.54484433,1176.052,-1.0216999
429.1,8,1,12922.711,.051403448
85.17100000000001,1.914,.54869348,11033.638,1.3544378
59.612,13.29,.64272523,3224.199,.78009862
238.603,1.979,1,1914.871,.49649212
-16.026,.269,1,1515.437,1.1698759
457.223,15.397,1,5559.286,-1.1620256
21.71,.79,1,1710.257,-.77947664
16150,73.5,.83179164,24261.291,-.71693695
489,6,1,11745.653,1.51592
1820,390.1,.56021714,16757.033,.41575104
-110,53.7,1,2616.58,3.9028454
210.219,.436,1,5483.031,.36207563
63.5,2.2,.57639569,3524.259,1.9216509
1072,157.9,1,11588.384,1.5966611
64.09999999999999,4.846,1,8506.894,-.61799449
189.191,10.9,1,4898.388,-.41512907
412.512,38.758,.71169037,12286.444,.90019745
72.94499999999999,4.9,1,2663.126,-.092164762
2035.3,9.489000000000001,1,15097.34,.58121902
59.87,8,1,3195.81,-.57661122
205.3,2.253,.68830812,4850.633,.27218282
356.8,21.537,1,4274.349,-.25364691
-16.2,4.823,.94505131,876.753,-.19081977
2965,99.90000000000001,.59255016,21552.792,-.25364691
-6127,333,.25360557,26831.472,-.33438799
1697.4,39,1,8872.985000000001,-.01142369
-82.7,6,.7726723,9136.831,.75865477
94.569,27.5,.92593336,3110.618,1.9124992
318.47,4.757,.95352322,1536.699,-1.0216999
705.672,39.6,.77941042,5014.694,.19144174
307,66,1,17772.128,-.39397267
144.2,6.7,1,6446.307,.029959602
345.713,3.2,1,5077.365,-.53725344
768.996,25.8,1,4464.51,-.37577128
71.90000000000001,13.15,.82175457,5250.595,.3943072
-76.90000000000001,2.82,1,10872.516,1.7872344
-215.235,.5,1,1885.981,.65797424
-671,65,1,15871.329,.83939582
334,22.3,.63237017,6821.034,-.029337626
451.838,5,1,10270.167,-.79767799
27.789,3.596,1,1677.26,-.01142369
161.767,3.918,.81536776,2715.811,-.49587011
58.024,45.9,.53544599,1340.842,-.86021769
883.75,.476,1,10967.246,-.39204922
-86.968,1.404,1,4116.324,.7264232
634,42,1,2489.455,-1.2013834
422.225,6.738,.99107647,3694.952,-.77947664
512.951,20.71,1,8371.915000000001,.19144174
4554,287,.61706519,17135.545,4.7230692
47.7,10,.95077711,9251.695,-1.4042488
1404,164,1,10217.451,.043887686
740.101,2.704,.98997366,9862.513000000001,1.6288927
48.887,14.726,1,3609.404,.56818354
7009,385,1,11470.092,-.77947664
105.436,10.4,.64739847,5882.878,.11070067
-10.874,.2,1,462.433,-.27907661
686.088,20.7,1,8691.436,.59514713
489,188,1,8277.203,1.831758
-16.1,2.078,.94864488,6168.867,-.25364691
49.264,.049,1,2267.045,-1.4042488
277.3,16.2,.58358335,6191.337,-.39204922
351.8,9.699999999999999,.42606309,6821.608,.26983294
1899,48,.2630479,11920.649,.069317386
197.3,5.6,.45350653,3947.203,-.86021769
-8.067,6.2,.34658706,3293.808,.33500996
34.289,6,.38795006,6397.071,2.7219353
194.737,1.767,1,2778.876,.74786705
11420,107.3,.83598256,14633.5,-.53725344
72.41800000000001,3.55,1,4762.084,.27218282
-184,13.2,.88727051,1748.105,.65797424
119.225,.33,1,2560.787,.36531809
454.6,49.2,1,14458.101,1.0223218
127.6,8.699999999999999,1,4739.654,-.65735227
172.286,29,.76318806,9594.630999999999,.33500996
15409,127.1,.53991961,16518.6,-.41512907
1563,139,.31828499,17230.521,-.96831191
