GAI,lemp1,HHI,ltdc,lni
2.6365304,6.2475624,.71190476,8.1673422,10.772687
1.0590413,7.0223875,1,6.7784867,11.528159
1.5041299,6.5573912,1,8.9662218,12.988276
3.2431011,9.0040655,.76378608,9.8410521,15.302329
2.1321445,3.3906667,1,7.587141,10.418793
2.433665,8.6140213,1,9.7561941,14.686888
2.415751,7.6806188,.9365238,9.4694777,14.060729
1.665612,7.4175382,1,8.1891756,13.650636
.51501012,5.2086234,.67373991,8.3848114,11.542484
3.4674106,9.5598125,.34700537,10.427045,15.377438
1.8684775,6.6021075,1,9.2260227,13.59024
2.4750483,5.0364723,1,7.2690363,10.150777
2.6671259,7.5567575,1,9.3284378,14.531935
2.5557895,8.7036905,.77713317,9.8587246,15.457028
2.6456821,6.9940486,1,9.4595699,14.744915
.59575117,3.6415694,1,6.6944633,8.7934599
3.0008779,7.4343677,.52341723,8.8468618,13.289332
2.4750483,7.5848007,1,9.6864328,15.752668
1.0801976,6.972126,1,8.9636965,13.454366
1.7069952,5.2181983,1,8.024581,10.418734
2.2542689,6.229095,.35648578,8.8337259,11.08739
3.0223217,9.4004803,1,9.2380848,17.793209
3.3452861,7.4408398,1,9.8032694,14.135418
2.7387154,6.4227667,.54612297,8.1118593,9.8970671
2.5120561,7.0513754,.53637534,9.5002728,12.641096
2.3990836,6.3492355,.99449182,8.9607849,12.774223
2.2845769,5.3248682,1,8.658289,12.977507
.97830009,2.545835,1,7.0923653,10.355709
1.5041299,8.7073336,.64655262,8.8666515,14.188797
1.8270942,7.9834142,.9758637,9.055479,12.521977
1.7463531,7.6338568,1,8.7913303,13.256742
2.7387154,5.9635615,.50749511,7.2658696,11.24883
1.2830631,5.1147552,1,7.5452752,10.163465
2.3350101,4.5664687,1,6.344964,10.997456
2.3743677,7.4212952,.81807804,9.1347866,12.545754
2.9201369,7.401361,1,9.0435896,11.815989
1.1397823,6.2549815,.54816949,8.3607349,11.706681
2.0299597,5.5051355,.81840795,7.0498466,9.9249067
2.6579742,8.6120234,.52874422,9.7200909,13.782988
1.7877364,6.4645596,1,7.8053908,11.656887
